Dataset,R,Alpha_Min,Alpha_Max,Algorithm,L,QPS,Latency,Recall
gist,32,1.0,1.8,Baseline,200,57.69,538561.87,93.60
gist,32,1.0,1.8,Baseline,200,58.95,535912.79,93.04
gist,32,1.0,1.8,Baseline,200,385.41,77573.31,92.75
gist,32,1.0,1.8,Baseline,200,382.19,77676.47,92.08
gist,32,1.0,1.8,Baseline,200,57.34,542308.73,93.30
gist,32,1.0,1.8,MCGI,50,452.26,67146.73,74.88
gist,32,1.0,1.8,MCGI,50,448.35,67896.43,74.52
gist,32,1.0,1.8,MCGI,50,466.74,65139.82,73.66
gist,32,1.0,1.8,MCGI,50,445.09,68313.99,73.49
gist,32,1.0,1.8,MCGI,50,463.48,65504.30,74.68
gist,32,1.0,1.8,MCGI,100,234.56,129940.38,86.45
gist,32,1.0,1.8,MCGI,100,222.66,137159.69,86.24
gist,32,1.0,1.8,MCGI,100,224.83,135152.24,85.10
gist,32,1.0,1.8,MCGI,100,256.63,117840.52,84.53
gist,32,1.0,1.8,MCGI,100,255.46,118377.55,86.66
gist,32,1.0,1.8,MCGI,150,167.93,180856.75,91.25
gist,32,1.0,1.8,MCGI,150,163.81,187854.89,90.79
gist,32,1.0,1.8,MCGI,150,167.89,182294.63,90.13
gist,32,1.0,1.8,MCGI,150,163.73,186332.08,89.21
gist,32,1.0,1.8,MCGI,150,165.12,184724.15,91.27
gist,32,1.0,1.8,MCGI,200,134.65,226971.75,93.79
gist,32,1.0,1.8,MCGI,200,135.28,226538.63,93.11
gist,32,1.0,1.8,MCGI,200,136.29,223608.22,93.05
gist,32,1.0,1.8,MCGI,200,135.51,224607.09,91.83
gist,32,1.0,1.8,MCGI,200,140.53,217783.63,93.80
gist,48,1.0,1.2,Baseline,50,1335.47,20304.52,79.30
gist,48,1.0,1.2,Baseline,50,1353.91,20271.24,78.41
gist,48,1.0,1.2,Baseline,50,1334.71,20589.09,78.67
gist,48,1.0,1.2,Baseline,50,1325.75,20331.87,79.89
gist,48,1.0,1.2,Baseline,50,1343.38,20289.45,80.08
gist,48,1.0,1.2,Baseline,100,736.09,39071.56,90.13
gist,48,1.0,1.2,Baseline,100,741.62,38961.54,88.93
gist,48,1.0,1.2,Baseline,100,729.01,39337.10,89.69
gist,48,1.0,1.2,Baseline,100,729.60,38926.30,90.94
gist,48,1.0,1.2,Baseline,100,736.02,38841.87,90.80
gist,48,1.0,1.2,Baseline,150,108.10,285582.78,93.97
gist,48,1.0,1.2,Baseline,150,112.89,273326.58,93.03
gist,48,1.0,1.2,Baseline,150,119.59,256721.52,93.85
gist,48,1.0,1.2,Baseline,150,101.10,306297.77,94.80
gist,48,1.0,1.2,Baseline,150,136.65,222973.38,94.61
gist,48,1.0,1.2,Baseline,200,57.71,548027.76,96.13
gist,48,1.0,1.2,Baseline,200,57.14,544780.20,94.94
gist,48,1.0,1.2,Baseline,200,55.99,555754.23,95.70
gist,48,1.0,1.2,Baseline,200,59.33,533240.97,96.68
gist,48,1.0,1.2,Baseline,200,57.54,539057.16,96.48
gist,48,1.0,1.2,MCGI,50,447.70,67633.52,77.64
gist,48,1.0,1.2,MCGI,50,1279.25,21310.93,76.89
gist,48,1.0,1.2,MCGI,50,1266.10,21671.69,77.26
gist,48,1.0,1.2,MCGI,50,1293.51,21247.43,78.56
gist,48,1.0,1.2,MCGI,50,989.99,28094.37,78.99
gist,48,1.0,1.2,MCGI,100,221.30,137583.08,88.45
gist,48,1.0,1.2,MCGI,100,713.49,39849.84,87.48
gist,48,1.0,1.2,MCGI,100,711.17,40221.32,88.55
gist,48,1.0,1.2,MCGI,100,690.15,41688.51,89.76
gist,48,1.0,1.2,MCGI,100,708.59,40449.46,89.13
gist,48,1.0,1.2,MCGI,150,157.20,193939.74,93.04
gist,48,1.0,1.2,MCGI,150,494.49,58921.99,91.97
gist,48,1.0,1.2,MCGI,150,484.31,60493.20,92.85
gist,48,1.0,1.2,MCGI,150,493.57,59200.34,93.77
gist,48,1.0,1.2,MCGI,150,405.62,73163.76,93.38
gist,48,1.0,1.2,MCGI,200,129.65,237774.35,95.31
gist,48,1.0,1.2,MCGI,200,377.25,78917.17,94.30
gist,48,1.0,1.2,MCGI,200,366.39,81262.55,94.76
gist,48,1.0,1.2,MCGI,200,367.53,81406.04,95.92
gist,48,1.0,1.2,MCGI,200,375.08,79296.23,95.32
gist,48,1.0,1.5,Baseline,50,1325.75,20331.87,79.89
gist,48,1.0,1.5,Baseline,50,1343.38,20289.45,80.08
gist,48,1.0,1.5,Baseline,50,1335.47,20304.52,79.30
gist,48,1.0,1.5,Baseline,50,1353.91,20271.24,78.41
gist,48,1.0,1.5,Baseline,50,1334.71,20589.09,78.67
gist,48,1.0,1.5,Baseline,100,729.60,38926.30,90.94
gist,48,1.0,1.5,Baseline,100,736.02,38841.87,90.80
gist,48,1.0,1.5,Baseline,100,736.09,39071.56,90.13
gist,48,1.0,1.5,Baseline,100,741.62,38961.54,88.93
gist,48,1.0,1.5,Baseline,100,729.01,39337.10,89.69
